author,shortname,id,url,abstract
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1802.03680,https://arxiv.org/abs/1802.03680,"Abstract:  Mapping road networks is currently both expensive and labor-intensive.
High-resolution aerial imagery provides a promising avenue to automatically
infer a road network. Prior work uses convolutional neural networks (CNNs) to
detect which pixels belong to a road (segmentation), and then uses complex
post-processing heuristics to infer graph connectivity. We show that these
segmentation methods have high error rates because noisy CNN outputs are
difficult to correct. We propose RoadTracer, a new method to automatically
construct accurate road network maps from aerial images. RoadTracer uses an
iterative search process guided by a CNN-based decision function to derive the
road network graph directly from the output of the CNN. We compare our approach
with a segmentation method on fifteen cities, and find that at a 5% error rate,
RoadTracer correctly captures 45% more junctions across these cities."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1801.04519,https://arxiv.org/abs/1801.04519,"Abstract:  We define the Fitzpatrick function of a $\sigma$-monotone operator in a way
similar to the original definition given by Fitzpatrick. We show that some
well-known properties of Fitzpatrick function remain valid for the larger class
of premonotone operators. Also, we find some conditions under which the
Fitzpatrick function of a $\sigma$-monotone operator is proper, and give some
results in Hilbert spaces."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1702.02588,https://arxiv.org/abs/1702.02588,"Abstract:  As its price per bit drops, SSD is increasingly becoming the default storage
medium for cloud application databases. However, it has not become the
preferred storage medium for key-value caches, even though SSD offers more than
10x lower price per bit and sufficient performance compared to DRAM. This is
because key-value caches need to frequently insert, update and evict small
objects. This causes excessive writes and erasures on flash storage, since
flash only supports writes and erasures of large chunks of data. These
excessive writes and erasures significantly shorten the lifetime of flash,
rendering it impractical to use for key-value caches. We present Flashield, a
hybrid key-value cache that uses DRAM as a ""filter"" to minimize writes to SSD.
Flashield performs light-weight machine learning profiling to predict which
objects are likely to be read frequently before getting updated; these objects,
which are prime candidates to be stored on SSD, are written to SSD in large
chunks sequentially. In order to efficiently utilize the cache's available
memory, we design a novel in-memory index for the variable-sized objects stored
on flash that requires only 4 bytes per object in DRAM. We describe Flashield's
design and implementation and, we evaluate it on a real-world cache trace.
Compared to state-of-the-art systems that suffer a write amplification of 2.5x
or more, Flashield maintains a median write amplification of 0.5x without any
loss of hit rate or throughput."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1602.06045,https://arxiv.org/abs/1602.06045,"Abstract:  Switches today provide a small set of scheduling algorithms. While we can
tweak scheduling parameters, we cannot modify algorithmic logic, or add a
completely new algorithm, after the switch has been designed. This paper
presents a design for a programmable packet scheduler, which allows scheduling
algorithms---potentially algorithms that are unknown today---to be programmed
into a switch without requiring hardware redesign.
Our design builds on the observation that scheduling algorithms make two
decisions: in what order to schedule packets and when to schedule them.
Further, in many scheduling algorithms these decisions can be made when packets
are enqueued. We leverage this observation to build a programmable scheduler
using a single abstraction: the push-in first-out queue (PIFO), a priority
queue that maintains the scheduling order and time for such algorithms.
We show that a programmable scheduler using PIFOs lets us program a wide
variety of scheduling algorithms. We present a detailed hardware design for
this scheduler for a 64-port 10 Gbit/s shared-memory switch with <4% chip area
overhead on a 16-nm standard-cell library. Our design lets us program many
sophisticated algorithms, such as a 5-level hierarchical scheduler with
programmable scheduling algorithms at each level."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1512.05023,https://arxiv.org/abs/1512.05023,"Abstract:  Many algorithms for congestion control, scheduling, network measurement,
active queue management, security, and load balancing require custom processing
of packets as they traverse the data plane of a network switch. To run at line
rate, these data-plane algorithms must be in hardware. With today's switch
hardware, algorithms cannot be changed, nor new algorithms installed, after a
switch has been built.
This paper shows how to program data-plane algorithms in a high-level
language and compile those programs into low-level microcode that can run on
emerging programmable line-rate switching chipsets. The key challenge is that
these algorithms create and modify algorithmic state. The key idea to achieve
line-rate programmability for stateful algorithms is the notion of a packet
transaction : a sequential code block that is atomic and isolated from other
such code blocks. We have developed this idea in Domino, a C-like imperative
language to express data-plane algorithms. We show with many examples that
Domino provides a convenient and natural way to express sophisticated
data-plane algorithms, and show that these algorithms can be run at line rate
with modest estimated die-area overhead."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1512.01271,https://arxiv.org/abs/1512.01271,"Abstract:  Hybrid switching - in which a high bandwidth circuit switch (optical or
wireless) is used in conjunction with a low bandwidth packet switch - is a
promising alternative to interconnect servers in today's large scale
data-centers. Circuit switches offer a very high link rate, but incur a
non-trivial reconfiguration delay which makes their scheduling challenging. In
this paper, we demonstrate a lightweight, simple and nearly-optimal scheduling
algorithm that trades-off configuration costs with the benefits of
reconfiguration that match the traffic demands. The algorithm has strong
connections to submodular optimization, has performance at least half that of
the optimal schedule and strictly outperforms state of the art in a variety of
traffic demand settings. These ideas naturally generalize: we see that indirect
routing leads to exponential connectivity; this is another phenomenon of the
power of multi hop routing, distinct from the well-known load balancing
effects."
Mohammad Alizadeh,Alizadeh_Mohammad,arXiv:1405.7143,https://arxiv.org/abs/1405.7143,"Abstract:  This paper presents a practical approach to rapidly introduce new dataplane
functionality into networks: End-hosts embed tiny programs into packets to
actively query and manipulate a network's internal state. We show how this
""tiny packet program"" (TPP) interface gives end-hosts unprecedented visibility
into network behavior, enabling them to work with the network to achieve a
common goal. Our design leverages what each component does best: (a) switches
forward and execute tiny packet programs (at most 5 instructions) at line rate,
and (b) end-hosts perform arbitrary computation on network state, which are
easy to evolve. Using a hardware prototype on a NetFPGA, we show our design is
feasible, at a reasonable cost. By implementing three different research
proposals, we show that TPPs are also useful. And finally, we present an
architecture in which they can be made secure."
Saman Amarasinghe,Amarasinghe_Saman,arXiv:1902.02816,https://arxiv.org/abs/1902.02816,"Abstract:  Modern microprocessors are equipped with Single Instruction Multiple Data
(SIMD) or vector instructions which expose data level parallelism at a fine
granularity. Programmers exploit this parallelism by using low-level vector
intrinsics in their code. However, once programs are written using vector
intrinsics of a specific instruction set, the code becomes non-portable. Modern
compilers are unable to analyze and retarget the code to newer vector
instruction sets. Hence, programmers have to manually rewrite the same code
using vector intrinsics of a newer generation to exploit higher data widths and
capabilities of new instruction sets. This process is tedious, error-prone and
requires maintaining multiple code bases. We propose Revec, a compiler
optimization pass which revectorizes already vectorized code, by retargeting it
to use vector instructions of newer generations. The transformation is
transparent, happening at the compiler intermediate representation level, and
enables performance portability of hand-vectorized code.
Revec can achieve performance improvements in real-world performance critical
kernels. In particular, Revec achieves geometric mean speedups of 1.160$\times$
and 1.430$\times$ on fast integer unpacking kernels, and speedups of
1.145$\times$ and 1.195$\times$ on hand-vectorized x265 media codec kernels
when retargeting their SSE-series implementations to use AVX2 and AVX-512
vector instructions respectively. We also extensively test Revec's impact on
216 intrinsic-rich implementations of image processing and stencil kernels
relative to hand-retargeting."
Saman Amarasinghe,Amarasinghe_Saman,arXiv:1808.07412,https://arxiv.org/abs/1808.07412,"Abstract:  Statically estimating the number of processor clock cycles it takes to
execute a basic block of assembly instructions in steady state (throughput) is
important for compiler backend optimizations such as register allocation,
instruction selection and instruction scheduling. This is complicated specially
in modern x86-64 Complex Instruction Set Computer (CISC) machines with
sophisticated processor microarchitectures. Traditionally, compiler writers
invest time experimenting and referring to processor manuals to analytically
model modern processors with incomplete specifications. This is tedious, error
prone and should be done for each processor generation. We present Ithemal, the
first automatically learnt estimator to statically predict throughput of a set
of basic block instructions using machine learning. Ithemal uses a novel
Directed Acyclic Graph-Recurrent Neural Network (DAG-RNN) based data-driven
approach for throughput estimation. We show that Ithemal is accurate than
state-of-the-art hand written tools used in compiler backends and static
machine code analyzers. In particular, our model has a worst case average error
of 10.53% on actual throughput values when compared to best case average errors
of 19.57% for the LLVM scheduler (llvm-mca) and 22.51% for IACA, Intel's
machine code analyzer when compared on three different microarchitectures,
while predicting throughput values at a faster rate than aforementioned tools.
We also show that Ithemal is portable, learning throughput estimation for Intel
Nehalem, Haswell and Skylake microarchitectures without requiring changes to
its structure."
Saman Amarasinghe,Amarasinghe_Saman,arXiv:1807.01624,https://arxiv.org/abs/1807.01624,"Abstract:  Modern out-of-order processors have increased capacity to exploit instruction
level parallelism (ILP) and memory level parallelism (MLP), e.g., by using wide
superscalar pipelines and vector execution units, as well as deep buffers for
in-flight memory requests. These resources, however, often exhibit poor
utilization rates on workloads with large working sets, e.g., in-memory
databases, key-value stores, and graph analytics, as compilers and hardware
struggle to expose ILP and MLP from the instruction stream automatically.
In this paper, we introduce the IMLP (Instruction and Memory Level
Parallelism) task programming model. IMLP tasks execute as coroutines that
yield execution at annotated long-latency operations, e.g., memory accesses,
divisions, or unpredictable branches. IMLP tasks are interleaved on a single
thread, and integrate well with thread parallelism and vectorization. Our DSL
embedded in C++, Cimple, allows exploration of task scheduling and
transformations, such as buffering, vectorization, pipelining, and prefetching.
We demonstrate state-of-the-art performance on core algorithms used in
in-memory databases that operate on arrays, hash tables, trees, and skip lists.
Cimple applications reach 2.5x throughput gains over hardware multithreading on
a multi-core, and 6.4x single thread speedup."
Saman Amarasinghe,Amarasinghe_Saman,arXiv:1805.00923,https://arxiv.org/abs/1805.00923,"Abstract:  The performance bottlenecks of graph applications depend not only on the
algorithm and the underlying hardware, but also on the size and structure of
the input graph. Programmers must try different combinations of a large set of
techniques to develop the best implementation for a specific algorithm and type
of graph. Existing graph frameworks lack flexibility, supporting only a limited
set of optimizations.
This paper introduces GraphIt, a new DSL for graph computations that
generates fast implementations for algorithms with different performance
characteristics running on graphs with different sizes and structures. GraphIt
separates what is computed (algorithm) from how it is computed (schedule).
Programmers specify the algorithm using an algorithm language, and performance
optimizations are specified using a scheduling language. The algorithm language
simplifies expressing the algorithms. We formulate graph optimizations,
including edge traversal direction, data layout, parallelization, cache, NUMA,
and kernel fusion optimizations, as tradeoffs among locality, parallelism, and
work-efficiency. The scheduling language enables programmers to easily search
through this complicated tradeoff space by composing together optimizations. We
also built an autotuner to automatically find high-performance schedules. The
compiler uses a new scheduling representation, the graph iteration space, to
model, compose, and ensure the validity of the large number of optimizations.
GraphIt outperforms the next fastest of six state-of-the-art shared-memory
frameworks (Ligra, Green-Marl, GraphMat, Galois, Gemini, and Grazelle) on 24
out of 32 experiments by up to 4.8$\times$, and is never more than 43% slower
than the fastest framework on the other experiments. GraphIt also reduces the
lines of code by up to an order of magnitude compared to the next fastest
framework."
Saman Amarasinghe,Amarasinghe_Saman,arXiv:1804.10694,https://arxiv.org/abs/1804.10694,"Abstract:  This paper introduces Tiramisu, a polyhedral framework designed to generate
high performance code for multiple platforms including multicores, GPUs, and
distributed machines. Tiramisu introduces a scheduling language with novel
extensions to explicitly manage the complexities that arise when targeting
these systems. The framework is designed for the areas of image processing,
stencils, linear algebra and deep learning. Tiramisu has two main features: it
relies on a flexible representation based on the polyhedral model and it has a
rich scheduling language allowing fine-grained control of optimizations.
Tiramisu uses a four-level intermediate representation that allows full
separation between the algorithms, loop transformations, data layouts, and
communication. This separation simplifies targeting multiple hardware
architectures with the same algorithm. We evaluate Tiramisu by writing a set of
image processing, deep learning, and linear algebra benchmarks and compare them
with state-of-the-art compilers and hand-tuned libraries. We show that Tiramisu
matches or outperforms existing compilers and libraries on different hardware
architectures, including multicore CPUs, GPUs, and distributed machines."
Saman Amarasinghe,Amarasinghe_Saman,arXiv:1804.10112,https://arxiv.org/abs/1804.10112,"Abstract:  This paper shows how to build a sparse tensor algebra compiler that is
agnostic to tensor formats (data layouts). We develop an interface that
describes formats in terms of their capabilities and properties, and show how
to build a modular code generator where new formats can be added as plugins. We
then describe six implementations of the interface that compose to form the
dense, CSR/CSF, COO, DIA, ELL, and HASH tensor formats and countless variants
thereof. With these implementations at hand, our code generator can generate
code to compute any tensor algebra expression on any combination of the
aforementioned formats.
To demonstrate our technique, we have implemented it in the taco tensor
algebra compiler. Our modular code generator design makes it simple to add
support for new tensor formats, and the performance of the generated code is
competitive with hand-optimized implementations. Furthermore, by extending taco
to support a wider range of formats specialized for different application and
data characteristics, we can improve end-user application performance. For
example, if input data is provided in the COO format, our technique allows
computing a single matrix-vector multiplication directly with the data in COO,
which is up to 3.6$\times$ faster than by first converting the data to CSR."
Saman Amarasinghe,Amarasinghe_Saman,arXiv:1804.08733,https://arxiv.org/abs/1804.08733,"Abstract:  Modern microprocessors are equipped with single instruction multiple data
(SIMD) or vector instruction sets which allow compilers to exploit superword
level parallelism (SLP), a type of fine-grained parallelism. Current SLP
auto-vectorization techniques use heuristics to discover vectorization
opportunities in high-level language code. These heuristics are fragile, local
and typically only present one vectorization strategy that is either accepted
or rejected by a cost model. We present goSLP, a novel SLP auto-vectorization
framework which solves the statement packing problem in a pairwise optimal
manner. Using an integer linear programming (ILP) solver, goSLP searches the
entire space of statement packing opportunities for a whole function at a time,
while limiting total compilation time to a few minutes. Furthermore, goSLP
optimally solves the vector permutation selection problem using dynamic
programming. We implemented goSLP in the LLVM compiler infrastructure,
achieving a geometric mean speedup of 7.58% on SPEC2017fp, 2.42% on SPEC2006fp
and 4.07% on NAS benchmarks compared to LLVM's existing SLP auto-vectorizer."
Saman Amarasinghe,Amarasinghe_Saman,arXiv:1803.07244,https://arxiv.org/abs/1803.07244,"Abstract:  In this position paper, we describe our vision of the future of machine
programming through a categorical examination of three pillars of research.
Those pillars are: (i) intention, (ii) invention, and(iii) adaptation.
Intention emphasizes advancements in the human-to-computer and
computer-to-machine-learning interfaces. Invention emphasizes the creation or
refinement of algorithms or core hardware and software building blocks through
machine learning (ML). Adaptation emphasizes advances in the use of ML-based
constructs to autonomously evolve software."
Saman Amarasinghe,Amarasinghe_Saman,arXiv:1803.00419,https://arxiv.org/abs/1803.00419,"Abstract:  High-performance DSL developers work hard to take advantage of modern
hardware. The DSL compilers have to build their own complex middle-ends before
they can target a common back-end such as LLVM, which only handles single
instruction streams with SIMD instructions. We introduce Tiramisu, a common
middle-end that can generate efficient code for modern processors and
accelerators such as multicores, GPUs, FPGAs and distributed clusters. Tiramisu
introduces a novel three-level IR that separates the algorithm, how that
algorithm is executed, and where intermediate data are stored. This separation
simplifies optimization and makes targeting multiple hardware architectures
from the same algorithm easier. As a result, DSL compilers can be made
considerably less complex with no loss of performance while immediately
targeting multiple hardware or hardware combinations such as distributed nodes
with both CPUs and GPUs. We evaluated Tiramisu by creating a new middle-end for
the Halide and Julia compilers. We show that Tiramisu extends Halide and Julia
with many new capabilities including the ability to: express new algorithms
(such as recurrent filters and non-rectangular iteration spaces), perform new
complex loop nest transformations (such as wavefront parallelization, loop
shifting and loop fusion) and generate efficient code for more architectures
(such as combinations of distributed clusters, multicores, GPUs and FPGAs).
Finally, we demonstrate that Tiramisu can generate very efficient code that
matches the highly optimized Intel MKL gemm (generalized matrix multiplication)
implementation, we also show speedups reaching 4X in Halide and 16X in Julia
due to optimizations enabled by Tiramisu."
Saman Amarasinghe,Amarasinghe_Saman,arXiv:1802.10574,https://arxiv.org/abs/1802.10574,"Abstract:  This paper shows how to optimize sparse tensor algebraic expressions by
introducing temporary tensors, called workspaces, into the resulting loop
nests. We develop a new intermediate language for tensor operations called
concrete index notation that extends tensor index notation. Concrete index
notation expresses when and where sub-computations occur and what tensor they
are stored into. We then describe the workspace optimization in this language,
and how to compile it to sparse code by building on prior work in the
literature.
We demonstrate the importance of the optimization on several important sparse
tensor kernels, including sparse matrix-matrix multiplication (SpMM), sparse
tensor addition (SpAdd), and the matricized tensor times Khatri-Rao product
(MTTKRP) used to factorize tensors. Our results show improvements over prior
work on tensor algebra compilation and brings the performance of these kernels
on par with state-of-the-art hand-optimized implementations. For example, SpMM
was not supported by prior tensor algebra compilers, the performance of MTTKRP
on the nell-2 data set improves by 35%, and MTTKRP can for the first time have
sparse results."
Saman Amarasinghe,Amarasinghe_Saman,arXiv:1709.06416,https://arxiv.org/abs/1709.06416,"Abstract:  Data analytics applications combine multiple functions from different
libraries and frameworks. Even when each function is optimized in isolation,
the performance of the combined application can be an order of magnitude below
hardware limits due to extensive data movement across these functions. To
address this problem, we propose Weld, a new interface between data-intensive
libraries that can optimize across disjoint libraries and functions. Weld
exposes a lazily-evaluated API where diverse functions can submit their
computations in a simple but general intermediate representation that captures
their data-parallel structure. It then optimizes data movement across these
functions and emits efficient code for diverse hardware. Weld can be integrated
into existing frameworks such as Spark, TensorFlow, Pandas and NumPy without
changing their user-facing APIs. We demonstrate that Weld can speed up
applications using these frameworks by up to 29x."
Saman Amarasinghe,Amarasinghe_Saman,arXiv:1608.01362,https://arxiv.org/abs/1608.01362,"Abstract:  Modern hardware systems are heavily underutilized when running large-scale
graph applications. While many in-memory graph frameworks have made substantial
progress in optimizing these applications, we show that it is still possible to
achieve up to 4 $\times$ speedups over the fastest frameworks by greatly
improving cache utilization. Previous systems have applied out-of-core
processing techniques from the memory/disk boundary to the cache/DRAM boundary.
However, we find that blindly applying such techniques is ineffective because
of the much smaller performance gap between DRAM and cache. We present two
techniques that take advantage of the cache with minimal or no instruction
overhead. The first, frequency based clustering, groups together frequently
accessed vertices to improve the utilization of each cache line with no runtime
overhead. The second, CSR segmenting, partitions the graph to restrict all
random accesses to the cache, makes all DRAM access sequential, and merges
partition results using a very low overhead cache-aware merge. Both techniques
can be easily implemented on top of optimized graph frameworks. Our techniques
combined give speedups of up to 4 $\times$ for PageRank, Label Propagation and
Collaborative Filtering, and 2 $\times$ for Betweenness Centrality over the
best published results"
Dimitri Antoniadis,Antoniadis_Dimitri,arXiv:1807.00272,https://arxiv.org/abs/1807.00272,"Abstract:  We present a compact model for Tunnel Field Effect Transistors (TFET), that
captures sev- eral non-idealities such as the Trap Assisted Tunneling (TAT)
originating from interface traps (Dit), along with Verilog-A implementation. We
show that the TAT, together with band edge non-abruptness known as the Urbach
tail, sets the lower limit of the sub-threshold swing and the minimum
achievable current at a given temperature. Presence of charged trap states also
contributes to reduced gate efficiency. We show that we can decouple the
contribution of each of these processes and extract the intrinsic sub-threshold
swing from a given experimental data. We derive closed form expressions of
channel potential, electric field and effective tunnel energy window to
accurately capture the essential device physics of TFETs. We test the model
against recently published exper- imental data, and simulate simple TFET
circuits using the Verilog-A model. The compact model provides a framework for
TFET technology projections with improved device metrics such as better
electrostatic design, reduced TAT, material with better transport properties
etc."
Dimitri Antoniadis,Antoniadis_Dimitri,arXiv:1603.06654,https://arxiv.org/abs/1603.06654,"Abstract:  We provide a detailed study of the interface Trap Assisted Tunneling (TAT)
mechanism in tunnel field effect transistors to show how it contributes a major
leakage current path before the Band To Band Tunneling (BTBT) is initiated.
With a modified Shockley-Read-Hall formalism, we show that at room temperature,
the phonon assisted TAT current always dominates and obscures the steep turn ON
of the BTBT current for common densities of traps. Our results are applicable
to top gate, double gate and gate all around structures where the traps are
positioned between the source-channel tunneling region. Since the TAT has
strong dependence on electric field, any effort to increase the BTBT current by
enhancing local electric field also increases the leakage current. Unless the
BTBT current can be increased separately, calculations show that the trap
density Dit has to be decreased by 40-100 times compared with the state of the
art in order for the steep turn ON (for III-V materials) to be clearly
observable at room temperature. We find that the combination of the intrinsic
sharpness of the band edges (Urbach tail) and the surface trap density
determines the subthreshold swing."
